Authors,Title,Keywords,Abstract,Publisher,Publication Date,Volume,Issue,DOI,pages
"Ettman, CK; Galea, S",The Potential Influence of AI on Population Mental Health,mental health; artificial intelligence; AI; policy; policies; population health; population; ChatGPT; generative; tools; digital mental health,"The integration of artificial intelligence (AI) into everyday life has galvanized a global conversation on the possibilities and perils of AI on human health. In particular, there is a growing need to anticipate and address the potential impact of widely accessible, enhanced, and conversational AI on mental health. We propose 3 considerations to frame how AI may influence population mental health: through the advancement of mental health care; by altering social and economic contexts; and through the policies that shape the adoption, use, and potential abuse of AI-enhanced tools.","JMIR PUBLICATIONS, INC",,10,,10.2196/49936,4
"Burov, V; Soshnikov, D",FidoNet and Generative AI: A New Approach to Museumification of Historical Content Resources,FidoNet; echos; echomail; newsgroups; content representation; user generated content; UCG; machine learning; large language model; LLM; generative AI; artificial intelligence; ChatGPT; GPT model; virtual museum; cybernetic immortality,This report considers the problem of visual representation of historical content resources based on user-generated content for museumification of the most important information resources in the history of digital networks development. The paper proposes an approach based on generative AI and shows its implementation in relation to FidoNet.,IEEE,,,,10.1109/HISTELCON56357.2023.10365937,4
"Nazeer, S; Sumbal, MS; Liu, G; Munir, H; Tsui, E",The next big thing: role of ChatGPT in personal knowledge management challenges and opportunities for knowledge workers across diverse disciplines,Personal knowledge management; Generative AI; ChatGPT; Knowledge worker; Knowledge management theories; Knowledge augmentation,"Purpose- The purpose of this paper is to embark on evaluating the role of Chat Generative-Trained Transformer (ChatGPT) in personal knowledge management (PKM) practices of individual knowledge workers across varied disciplines.Design/methodology/approach- The methodology involves four steps, i.e. literature search, screening and selection of relevant data, data analysis and data synthesis related to KM, PKM and generative artificial intelligence (AI) with a focus on ChatGPT. The findings are then synthesized to develop a viewpoint on the challenges and opportunities brought by ChatGPT for individual knowledge workers in enhancing their PKM capability.Findings- This work highlights the prevailing challenges and opportunities experienced by knowledge workers while leveraging PKM through implying ChatGPT. It also encapsulates how some management theories back the cruciality of generative AI (specifically ChatGPT) for PKM.Research limitations/implications- This study identifies the challenges and opportunities. from existing studies and does not imply empirical data/result. The authors believe that findings can be adjusted to diverse domains regarding knowledge workers' PKM endeavors. This paper draws some conclusions and calls for further empirical research.Originality/value- ChatGPT's capability to accelerate organizational performance compelled scholars to focus in this domain. The linkage of ChatGPT to Knowledge Management is an under-explored area specifically the role of ChatGPT on PKM hasn't been given attention in the existing work. This is one of the earliest studies to explore this context.",EMERALD GROUP PUBLISHING LTD,2023 DEC 22,,,10.1108/GKMC-07-2023-0246,15
"Triguero, I; Molina, D; Poyatos, J; Del Ser, J; Herrera, F","General Purpose Artificial Intelligence Systems (GPAIS): Properties, definition, taxonomy, societal implications and responsible governance",General-purpose AI; Meta -learning; Reinforcement learning; Neuroevolution; Few -shot learning; AutoML; Transfer learning; Generative AI; Large language models,"Most applications of Artificial Intelligence (AI) are designed for a confined and specific task. However, there are many scenarios that call for a more general AI, capable of solving a wide array of tasks without being specifically designed for them. The term General Purpose Artificial Intelligence Systems (GPAIS) has been defined to refer to these AI systems. To date, the possibility of an Artificial General Intelligence, powerful enough to perform any intellectual task as if it were human, or even improve it, has remained an aspiration, fiction, and considered a risk for our society. Whilst we might still be far from achieving that, GPAIS is a reality and sitting at the forefront of AI research. This work discusses existing definitions for GPAIS and proposes a new definition that allows for a gradual differentiation among types of GPAIS according to their properties and limitations. We distinguish between closed-world and open-world GPAIS, characterising their degree of autonomy and ability based on several factors such as adaptation to new tasks, competence in domains not intentionally trained for, ability to learn from few data, or proactive acknowledgement of their own limitations. We then propose a taxonomy of approaches to realise GPAIS, describing research trends such as the use of AI techniques to improve another AI (commonly referred to as AI-powered AI) or (single) foundation models. As a prime example, we delve into generative AI (GenAI), aligning them with the terms and concepts presented in the taxonomy. Similarly, we explore the challenges and prospects of multi-modality, which involves fusing various types of data sources to expand the capabilities of GPAIS. Through the proposed definition and taxonomy, our aim is to facilitate research collaboration across different areas that are tackling general purpose tasks, as they share many common aspects. Finally, with the goal of providing a holistic view of GPAIS, we discuss the current state of GPAIS, its prospects, implications for our society, and the need for regulation and governance of GPAIS to ensure their responsible and trustworthy development.",ELSEVIER,MAR,103,,10.1016/j.inffus.2023.102135,16
"Chou, HM; Cho, TL",Utilizing Text Mining for Labeling Training Models from Futures Corpus in Generative AI,text mining; semantic analysis; labeling bull-bear words; futures corpus; generative AI,"For highly time-constrained, very short-term investors, reading and extracting valuable information from financial news poses significant challenges. The wide range of topics covered in these news articles further compounds the difficulties for investors. The diverse content adds complexity and uncertainty to the text, making it arduous for very short-term investors to swiftly and accurately extract valuable insights. Variations between authors, media sources, and cultural backgrounds also introduce additional complexities. Hence, performing a bull-bear semantic analysis of financial news using text mining technologies can alleviate the volume, time, and energy pressures on very short-term investors, while enhancing the efficiency and accuracy of their investment decisions. This study proposes labeling bull-bear words using a futures corpus detection method that extracts valuable information from financial news, allowing investors to quickly understand market trends. Generative AI models are trained to provide real-time bull-bear advice, aiding investors in adapting to market changes and devising effective trading strategies. Experimental results show the effectiveness of various models, with random forest and SVMs achieving an impressive 80% accuracy rate. MLP and deep learning models also perform well. By leveraging these models, the study reduces the time spent reading financial articles, enabling faster decision making and increasing the likelihood of investment success. Future research can explore the application of this method in other domains and enhance model design for improved predictive capabilities and practicality.",MDPI,SEP,13,17,10.3390/app13179622,13
"Partadiredja, RA; Serrano, CE; Ljubenkov, D",AI or Human: The Socio-ethical Implications of AI-Generated Media Content,artificial intelligence; real vs fake; AI-generated media content; generative pre-trained transformer; deepfakes,"Recent artificial intelligence (AI) developments in the way machines learn have now made it possible for AI to generate media content-image, sound, and text. The highly realistic output of AI-generated media content implants the question of whether we can still tell the difference between what is AI or human. In consequence, this paper explores the socio-ethical implications of this type of content. As a starting point for the discussion, an illustrative experiment packaged as a game of trivia was conducted and played by 2383 participants which generated a total of 24502 guesses in differentiating between AI or humans. The socio-ethical analysis provides insights into how this phenomenon unfolds and its implications for our future.",IEEE,,,,10.1109/CMI51275.2020.9322673,6
"Nikoli, PK; Bertin, G",AI.R Taletorium: Artificial Intelligence 1001 Cyber Nights,generative storytelling; natural language processing; artificial intelligence creativity; human-AI interaction; computer vision,"AI.R Taletorium is an artificial intelligence-based collaborative learning environment based on Human-AI co-creation and social relationship development between users. AI.R Taletorium is designed to achieve a common creative experience between groups of users with different preferences, not necessarily at the same location. The system is built upon a character-centric interactive storytelling framework. AI follows users' characteristics to transfer participants into the AI-generated story environment via avatars. Additionally, the multimodal interface helps users participate in the story creation and stimulate their perceptive and emotional engagement. In the 1001 Cyber Nights series of AI-created fairy tales, our focus is on the neural-network-based automated storytelling part of the AI.R Taletorium project. We are inspired by the 1001 Middle Eastern folk tales collection and Scheherazade, who fought for her life by telling stories for 1001 nights. We are using our AI.R Taletorium automated storytelling system to challenge AI creativity and imagination in creating fairy tales for children. As in the story of Scheheraza-de, we see this as a paradigm of AI's creative effort toward its further emancipation.",UNIV OBERTA CATALUNYA,,,31,10.7238/artnodes.v0i31.402821,10
"Lozic, E; Stular, B",Fluent but Not Factual: A Comparative Analysis of ChatGPT and Other AI Chatbots' Proficiency and Originality in Scientific Writing for Humanities,generative AI; large language model (LLM); ChatGPT; Bard; Bing; scientific writing; digital humanities,"Historically, mastery of writing was deemed essential to human progress. However, recent advances in generative AI have marked an inflection point in this narrative, including for scientific writing. This article provides a comprehensive analysis of the capabilities and limitations of six AI chatbots in scholarly writing in the humanities and archaeology. The methodology was based on tagging AI-generated content for quantitative accuracy and qualitative precision by human experts. Quantitative accuracy assessed the factual correctness in a manner similar to grading students, while qualitative precision gauged the scientific contribution similar to reviewing a scientific article. In the quantitative test, ChatGPT-4 scored near the passing grade (-5) whereas ChatGPT-3.5 (-18), Bing (-21) and Bard (-31) were not far behind. Claude 2 (-75) and Aria (-80) scored much lower. In the qualitative test, all AI chatbots, but especially ChatGPT-4, demonstrated proficiency in recombining existing knowledge, but all failed to generate original scientific content. As a side note, our results suggest that with ChatGPT-4, the size of large language models has reached a plateau. Furthermore, this paper underscores the intricate and recursive nature of human research. This process of transforming raw data into refined knowledge is computationally irreducible, highlighting the challenges AI chatbots face in emulating human originality in scientific writing. Our results apply to the state of affairs in the third quarter of 2023. In conclusion, while large language models have revolutionised content generation, their ability to produce original scientific contributions in the humanities remains limited. We expect this to change in the near future as current large language model-based AI chatbots evolve into large language model-powered software.",MDPI,OCT,15,10,10.3390/fi15100336,26
"Ou, L; Chang, YC; Wang, YK; Lin, CT",Explain Reinforcement Learning Agents Through Fuzzy Rule Reconstruction,Explainable AI; Reinforcement Learning; Fuzzy Neural Network; Generative Model,"There has been a lot of interest in making reinforcement learning (RL) models more explainable, as their applications become more widespread. Currently, most of the explainable RL (xRL) models focus on improving the transparency of the agent's observations, rather than the relationship between the agent's states and actions. This study introduces the Explainable Fuzzy Reconstruction Net (EFRN), which aims to interpret these relationships in RL. The EFRN utilizes the interpretability of Fuzzy Neural Networks (FNNs) to create IF-THEN rules and a generative model to showcase the learned knowledge. The IF-THEN rules can be expressed in a way that is easily understandable for humans, such as IF A THEN B. The generative model then visualizes the state as patterns that is easy for humans to comprehend. The results of the study shows that the proposed EFRN maintains the same level of performance as traditional RL methods and significantly improves the explainability of the RL agents both globally and locally.",IEEE,,,,10.1109/FUZZ52849.2023.10309670,6
"Jackson, I; Saenz, MJ; Ivanov, D",From natural language to simulations: applying AI to automate simulation modelling of logistics systems,Generative AI; artificial intelligence; NLP; simulation; GPT-3; supply chain,"Our research strives to examine how simulation models of logistics systems can be produced automatically from verbal descriptions in natural language and how human experts and artificial intelligence (AI)-based systems can collaborate in the domain of simulation modelling. We demonstrate that a framework constructed upon the refined GPT-3 Codex is capable of generating functionally valid simulations for queuing and inventory management systems when provided with a verbal explanation. As a result, the language model could produce simulation models for inventory and process control. These results, along with the rapid improvement of language models, enable a significant simplification of simulation model development. Our study offers guidelines and a design of a natural language processing-based framework on how to build simulation models of logistics systems automatically, given the verbal description. In generalised terms, our work offers a technological underpinning of human-AI collaboration for the development of simulation models.",TAYLOR & FRANCIS LTD,FEB 16,62,4,10.1080/00207543.2023.2276811,24
"Kim, JH; Kim, J; Kim, S; Hailu, TB",Effects of AI ChatGPT on travelers' travel decision-making,ChatGPT; Travel decision; Usage experience; ChatGPT mistake; Generative AI,"Purpose - This paper aims to investigate travelers' intentions to use ChatGPT and the influential factors affecting their decision-making. Design/methodology/approach - Four studies were conducted to test three hypotheses. Four groups of respondents totaling 593 (Study 1), 337 (Study 2), 374 (Study 3) and 385 (Study 4) survey participants were used for data analyses. Findings - Overall, the findings confirmed the impacts of technology usage experience and ChatGPT's mistakes and provided additional information on travelers' intentions to use ChatGPT. The four hypotheses were supported. Originality/value - The findings can help researchers and industry to understand travelers' intentions to use ChatGPT and their responses to its functions.",EMERALD GROUP PUBLISHING LTD,2023 NOV 1,,,10.1108/TR-07-2023-0489,20
"Daher, R; Barbed, OL; Murillo, AC; Vasconcelos, F; Stoyanov, D",CycleSTTN: A Learning-Based Temporal Model for Specular Augmentation in Endoscopy,Surgical Data Science; Surgical AI; Generative AI; Deep Learning; Endoscopy; Specularity,"Feature detection and matching is a computer vision problem that underpins different computer assisted techniques in endoscopy, including anatomy and lesion recognition, camera motion estimation, and 3D reconstruction. This problem is made extremely challenging due to the abundant presence of specular reflections. Most of the solutions proposed in the literature are based on filtering or masking out these regions as an additional processing step. There has been little investigation into explicitly learning robustness to such artefacts with single-step end-to-end training. In this paper, we propose an augmentation technique (CycleSTTN) that adds temporally consistent and realistic specularities to endoscopic videos. Such videos can act as ground truth data with known texture occluded behind the added specularities. We demonstrate that our image generation technique produces better results than a standard CycleGAN model. Additionally, we leverage this data augmentation to re-train a deep-learning based feature extractor (SuperPoint) and show that it improves. CycleSTTN code is made available here.",SPRINGER INTERNATIONAL PUBLISHING AG,,14229,,10.1007/978-3-031-43999-5_54,11
"Curtis, A; Oni, MSSC; Inoue, S; Kamineni, A; Zane, R; Flann, N",Generative Neural Network Approach to Designing Dynamic Inductive Power Transfer Systems,deep learning; generative AI; multi-objective optimization; inductive wireless power transfer,"Generative Neural Networks (GNN) have demonstrated remarkable power in creating novel graphic design images from text-to-image training. This work applies GNNs to design dynamic inductive power transfer systems to make charging electrical vehicles (EVs) more convenient and cheaper. Discovering optimal and safe coil implementations (for EV and road) is challenging because of the combinatorial explosion of possible configurations, along with multiple conflicting objective functions, such as maximizing the output power, while minimizing stray magnetic fields and the volume of windings and magnetic cores. To solve the problem, a differentiable simulator and evaluator define loss functions that train a generative neural network to only produce configurations that satisfy eight given design criteria. Before training, the rate of finding successful designs is 0.005%, but within 500 training epochs, the rate becomes 98% (about 30 seconds run time). Solution diversity and quality may be further improved by applying loss functions trained on pairwise Pareto-optimal generated examples.",IEEE,,,,10.1109/WPTCE56855.2023.10216141,5
"Sohn, K; Sung, CE; Koo, G; Kwon, O",Artificial intelligence in the fashion industry: consumer responses to generative adversarial network (GAN) technology,Artificial intelligence (AI); Generative adversarial networks (GANs); Consumption value theory; AI aversion; Fashion consumer behaviour,"Purpose This study examines consumers' evaluations of product consumption values, purchase intentions and willingness to pay for fashion products designed using generative adversarial network (GAN), an artificial intelligence technology. This research investigates differences between consumers' evaluations of a GAN-generated product and a non-GAN-generated product and tests whether disclosing the use of GAN technology affects consumers' evaluations. Design/methodology/approach Sample products were developed as experimental stimuli using cycleGAN. Data were collected from 163 members of Generation Y. Participants were assigned to one of the three experimental conditions (i.e. non-GAN-generated images, GAN-generated images with disclosure and GAN-generated images without disclosure). Regression analysis and ANOVA were used to test the hypotheses. Findings Functional, social and epistemic consumption values positively affect willingness to pay in the GAN-generated products. Relative to non-GAN-generated products, willingness to pay is significantly higher for GAN-generated products. Moreover, evaluations of functional value, emotional value and willingness to pay are highest when GAN technology is used, but not disclosed. Originality/value This study evaluates the utility of GANs from consumers' perspective based on the perceived value of GAN-generated product designs. Findings have practical implications for firms that are considering using GANs to develop products for the retail fashion market.",EMERALD GROUP PUBLISHING LTD,JAN 11,49,1,10.1108/IJRDM-03-2020-0091,20
"Nuortimo, K",Bigdata-based university reputation measurement. Towards conceptualizing AI-based university reputation score (URS),automated university reputation measurement; opinion mining; generative AI,"The competition inside higher education institutions, namely universities, is tightening, putting emphasize on competitive intelligence (CI) function. At the same time, communication has shifted to digital channels, this trend was largely influenced by Corona virus pandemic. This presents a challenge for university reputation measurement and ranking, while the electronic word to mouth (E-wom) is more challenging to measure, control or influence than the issues measured in traditional university rankings. While traditional metrics are based on measuring academic reputation via surveys and gathering data from research organisations, this paper presents a way to include AI, namely chatGPT and big -data based media-analytics with social media sentiment to aid analysing the reputation of a University. Results based on Finnish universities indicate, that differences between media visibility and sentiment exist, and can be to some extent utilized in rating universities in local level and also generalize to global level, finally targeting to URS (University reputation score) -index. Due to complexity of measuring the reputation of the university strictly via AI and automated opinion mining, several limitations exist. The context of Finnish universities were chosen in order to limit the scope of the analysis.","HALMSTAD UNIV, SWEDEN",,13,3,,18
"Hasselgren, C; Oprea, TI",Artificial Intelligence for Drug Discovery: AreWe There Yet?,autoencoders; deep learning; explainable AI; generative chemistry; knowledge graphs; machine learning; multiproperty optimization; small-molecule drug discovery; target identification,"Drug discovery is adapting to novel technologies such as data science, informatics, and artificial intelligence (AI) to accelerate effective treatment development while reducing costs and animal experiments. AI is transforming drug discovery, as indicated by increasing interest from investors, industrial and academic scientists, and legislators. Successful drug discovery requires optimizing properties related to pharmacodynamics, pharmacokinetics, and clinical outcomes. This review discusses the use of AI in the three pillars of drug discovery: diseases, targets, and therapeutic modalities, with a focus on small-molecule drugs. AI technologies, such as generative chemistry, machine learning, and multiproperty optimization, have enabled several compounds to enter clinical trials. The scientific community must carefully vet known information to address the reproducibility crisis. The full potential of AI in drug discovery can only be realized with sufficient ground truth and appropriate human intervention at later pipeline stages.",ANNUAL REVIEWS,,64,,10.1146/annurev-pharmtox-040323-040828,24
"Ferraro, C; Sands, S; Zubcevic-Basic, N; Campbell, C",Diversity in the digital age: how consumers respond to diverse virtual influencers,Virtual influencer; influencer marketing; social media; diversity; generative AI,"In recent years the popularity of social media influencers has grown exponentially, in part because influencers tend to not be seen as advertising and they enable brands to reach engaged audiences. As such, influencer marketing is perceived as an effective and cost-effective marketing tool. However, like all areas of marketing there are broad-based shifts that are having significant effects on the domain of influencer marketing. First, there are calls for greater levels of diversity and broader representation of diverse communities. Second, digital innovation is having a profound effect on the field of influencer marketing, leading to the advent of virtual influencers that are artificially created, often through generative AI. These shifts raise questions about the effect of diversity in influencer marketing - with implications for brands that engage virtual influencers. In this paper, we present two experiments that investigate the effect of diversity representation in the context of virtual influencers. Results show that when brands engage virtual influencers to represent diverse subgroups, novelty and likeability act to mediate positive effects for the influencer (word-of-mouth and follow intentions) and the brand (purchase intentions). Theoretical and practical implications are discussed.","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2024 JAN 2,,,10.1080/02650487.2023.2300927,24
"Barrington, S; Barua, R; Koorma, G; Farid, H",Single and Multi-Speaker Cloned Voice Detection: From Perceptual to Learned Features,deepfakes; generative AI; audio forensics,"Synthetic-voice cloning technologies have seen significant advances in recent years, giving rise to a range of potential harms. From small- and large-scale financial fraud to disinformation campaigns, the need for reliable methods to differentiate real and synthesized voices is imperative. We describe three techniques for differentiating a real from a cloned voice designed to impersonate a specific person. These three approaches differ in their feature extraction stage with low-dimensional perceptual features offering high interpretability but lower accuracy, to generic spectral features, and end-to-end learned features offering less interpretability but higher accuracy. We show the efficacy of these approaches when trained on a single speaker's voice and when trained on multiple voices. The learned features consistently yield an equal error rate between 0% and 4%, and are reasonably robust to adversarial laundering.",IEEE,,,,10.1109/WIFS58808.2023.10374911,6
"Rajala, J; Hukkanen, J; Hartikainen, M; Niemelä, P",Call me Kiran - ChatGPT as a Tutoring Chatbot in a Computer Science Course,artificial intelligence; generative AI; ChatGPT; student perceptions; chatbots; education; tutoring; discussion forum,"Natural language processing has taken enormous steps during the last few years. The development of large language models and generative AI has elevated natural language processing to the level that it can output coherent and contextually relevant text for a given natural language prompt. ChatGPT is one incarnation of these steps, and its use in education is a rather new phenomenon. In this paper, we study students' perception on ChatGPT during a computer science course. On the course, we integrated ChatGPT into Teams private discussion groups. In addition, all the students had freedom to employ ChatGPT and related technologies to help them in their coursework. The results show that the majority of students had at least tested AI-powered chatbots, and that students are using AI-powered chatbots for multiple tasks, e.g., debugging code, tutoring, and enhancing comprehension. The amount of positive implications of using ChatGPT takes over the negative implications, when the implications were considered from an understanding, learning and creativity perspective. Relatively many students reported reliability issues with the outputs and that the iterations with prompts might be necessary for satisfactory outputs. It is important to try to steer the usage of ChatGPT so that it complements students' learning processes, but does not replace it.",ASSOC COMPUTING MACHINERY,,,,10.1145/3616961.3616974,12
"Karabacak, M; Ozkara, BB; Margetis, K; Wintermark, M; Bisdas, S",The Advent of Generative Language Models in Medical Education,generative language model; artificial intelligence; medical education; ChatGPT; academic integrity; AI-driven feedback; stimulation; evaluation; technology; learning environment; medical student,"Artificial intelligence (AI) and generative language models (GLMs) present significant opportunities for enhancing medical education, including the provision of realistic simulations, digital patients, personalized feedback, evaluation methods, and the elimination of language barriers. These advanced technologies can facilitate immersive learning environments and enhance medical students' educational outcomes. However, ensuring content quality, addressing biases, and managing ethical and legal concerns present obstacles. To mitigate these challenges, it is necessary to evaluate the accuracy and relevance of AI-generated content, address potential biases, and develop guidelines and policies governing the use of AI-generated content in medical education. Collaboration among educators, researchers, and practitioners is essential for developing best practices, guidelines, and transparent AI models that encourage the ethical and responsible use of GLMs and AI in medical education. By sharing information about the data used for training, obstacles encountered, and evaluation methods, developers can increase their credibility and trustworthiness within the medical community. In order to realize the full potential of AI and GLMs in medical education while mitigating potential risks and obstacles, ongoing research and interdisciplinary collaboration are necessary. By collaborating, medical professionals can ensure that these technologies are effectively and responsibly integrated, contributing to enhanced learning experiences and patient care.(JMIR Med Educ 2023;9:e48163) doi: 10.2196/48163","JMIR PUBLICATIONS, INC",,9,,10.2196/48163,7
"Divito, CB; Katchikian, BM; Gruenwald, JE; Burgoon, JM",The tools of the future are the challenges of today: The use of ChatGPT in problem-based learning medical education,ChatGPT; problem-based learning (PBL); generative artificial intelligence (AI); large language models (LLM); medical education,"What is the educational challenge?Incorporation of large language model (LLM) or generative artificial intelligence (AI) software poses a challenge to various areas of medical education, including problem-based learning (PBL). LLMs, such as ChatGPT, have incredible potential to transform educational systems and enhance student learning outcomes when used responsibly.What are the proposed solutions?ChatGPT can provide several ways to support students and assist facilitators with course responsibilities. Here we address factors of implementation and describe how ChatGPT can be responsibly utilized to support key elements of PBL.How was the solution implemented?Providing reasonable access is an essential element of novel software implementation. Additionally, training for both faculty and staff is vital to foster responsible usage, provide base-line proficiency, and guide users to critically evaluate the quality of output.What lessons were learned that are relevant to a wider audience?The use of LLMs or other generative AI is dramatically rising in the world. Appropriate and conscientious incorporation of AI into educational programs can foster responsible use and potentially enhance student learning.What are the next steps?Assessment of learning outcomes, student self-efficacy, group dynamics, and stakeholder feedback are required to measure the effects of ChatGPT in the PBL curriculum. Additionally, software programs competitive with ChatGPT are currently under development and will also need to be investigated for their potential role in education.",TAYLOR & FRANCIS LTD,MAR 3,46,3,10.1080/0142159X.2023.2290997,3
"Luo, LY; Ogawa, K; Peebles, G; Ishiguro, H",Towards a Personality AI for Robots: Potential Colony Capacity of a Goal-Shaped Generative Personality Model When Used for Expressing Personalities via Non-Verbal Behaviour of Humanoid Robots,generative personality models; goal-based personality models; personality AI for robots; robot personalities engineering; humanoid robots,"Engineering robot personalities is a challenge of multiple folds. Every robot that interacts with humans is an individual physical presence that may require their own personality. Thus, robot personalities engineers face a problem that is the reverse of that of personality psychologists: robot personalities engineers need to make batches of identical robots into individual personalities, as oppose to formulating comprehensive yet parsimonious descriptions of individual personalities that already exist. The robot personality research so far has been fruitful in demonstrating the positive effects of robot personality but unfruitful in insights into how robot personalities can be engineered in significant quantities. To engineer robot personalities for mass-produced robots we need a generative personality model with a structure to encode a robot's individual characteristics as personality traits and generate behaviour with inter- and intra-individual differences that reflect those characteristics. We propose a generative personality model shaped by goals as part of a personality AI for robots towards which we have been working, and we conducted tests to investigate how many individual personalities the model can practically support when it is used for expressing personalities via non-verbal behaviour on the heads of humanoid robots.",FRONTIERS MEDIA SA,MAY 11,9,,10.3389/frobt.2022.728776,20
"Saxena, D; Wall, PJ; Lewis, D",Artificial Intelligence (AI) Ethics: A Critical Realist Emancipatory Approach,Artificial intelligence; ethics; AI ethics; critical realism; generative mechanisms; reflexivity; citizen engagement,"The importance of any conversation on the ethics of Artificial Intelligence (AI) cannot be overstated as such advanced technologies now influence almost every aspect of our lives. To date, dominant approaches to AI ethics have traditionally focused on the agency of the organisations creating such AI projects (e.g. the Google AI principles), but more recent approaches focus on wider structures and frameworks that may potentially support responsible AI design (e.g. the Ethically Aligned Design framework by IEEE). In this paper, we argue that such frameworks are both incomplete and insufficient as these approaches give primacy to either agency or structure. Moreover, in both approaches, the emancipation of those for whom AI is designed is almost completely ignored. To remove these lacunae, we suggest an emancipatory approach to AI ethics based on the key tenets of the philosophy and ontology of critical realism. The stratified ontology of critical realism suggests that structural conditions may be modified to activate the mechanisms supporting any desired outcome (e.g., bias-free AI). In addition, such an emancipatory approach works towards activating the mechanisms supporting the reflexivity of the stakeholders in any specific AI context. This paper makes an argument for adopting this particular philosophical approach, and we discuss three critical realist-based mechanisms in support of our argument: ethical training of AI professionals, citizen engagement, and freedom of AI information.",IEEE,,,,10.1109/ISTAS57930.2023.10305995,5
"Du, XJ; An, PC; Leung, J; Li, A; Chapman, LE; Zhao, J",DeepThInk: Designing and probing human-AI co-creation in digital art therapy,Digital art therapy; Deep Learning; Generative art model; Human -AI co -creation,"Art therapy has been an essential form of psychotherapy to facilitate psychological well-being, which has been promoted and transformed by recent technological advances into digital art therapy. However, the potential of digital technologies has not been fully leveraged; especially, applying AI technologies in digital art therapy is still under-explored. In this paper, we propose an AI-infused art-making system, DeepThInk, to investigate the potential of introducing a human-AI co-creative process into art therapy, by collaborating with five experienced registered art therapists over ten months. DeepThInk offers a range of tools which can lower the expertise threshold for art-making while improving users' creativity and expressivity. We gathered the insights of DeepThInk through expert reviews and a two-part user evaluation with both synchronous and asynchronous therapy setups. This longitudinal iterative design process helped us derive and contextualize design principles of human-AI co-creation for art therapy, shedding light on future design in relevant domains.",ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,JAN,181,,10.1016/j.ijhcs.2023.103139,17
"Kim, H; Choi, JH; Choi, JY",A Novel Scheme for Generating Context-Aware Images Using Generative Artificial Intelligence,Generative AI; context-aware; text-to-image generation; prompt editing,"Humans possess the remarkable capacity to comprehend narratives presented in text and subsequently conjure associated mental images through their imagination. This cognitive ability enhances their grasp of the content and augments their overall enjoyment. Consequently, the development of an automated system aimed at producing visually faithful images based on textual descriptions, often referred to as the text-to-image task, stands as a profoundly meaningful endeavor. For this reason, a variety of text-to-image generating artificial intelligences (AIs) have been devised until now. Nevertheless, the generative AIs introduced thus far encounter an issue wherein they struggle to uphold the coherence of input sentences, particularly when multiple sentences are provided. Within this paper, we present a remedy to this challenge through the application of prompt editing. Furthermore, our experimental results substantiate that our proposed solution more effectively preserves contextual coherence among the generated images in comparison to other preexisting generative artificial intelligence models. The experimental results demonstrate that the proposed scheme improves performance by at least 30 percent in terms of the similarity of the generated image and by 130 percent in terms of ROUGE(recall) .",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,12,,10.1109/ACCESS.2024.3368871,13
"Qiao, H; Liu, V; Chilton, LB",Initial Images: Using Image Prompts to Improve Subject Representation in Multimodal AI Generated Art,text-to-image; multimodal generative models; computational creativity; prompt engineering; design guidelines; AI co-creation,"Advances in text-to-image generative models have made it easier for people to create art by just prompting models with text. However, creating through text leaves users with limited control over the final composition or the way the subject is represented. A potential solution is to use image prompts alongside text prompts to condition the model. To better understand how and when image prompts can improve subject representation in generations, we conduct an annotation experiment to quantify their effect on generations of abstract, concrete plural, and concrete singular subjects. We find that initial images improved subject representation across all subject types, with the most noticeable improvement in concrete singular subjects. In an analysis of different types of initial images, we find that icons and photos produced high quality generations of different aesthetics. We conclude with design guidelines for how initial images can improve subject representation in AI art.",ASSOC COMPUTING MACHINERY,,,,10.1145/3527927.3532792,14
"Goktas, P; Karakaya, G; Kalyoncu, AF; Damadoglu, E",Artificial Intelligence Chatbots in Allergy and Immunology Practice: Where Have We Been and Where Are We Going?,ChatGPT; Artificial intelligence; Allergy; Ethical considerations; AI chatbots; Natural language processing; Generative pretrained transformer; Healthcare,"Artificial intelligence (AI) is rapidly becoming a valuable tool in healthcare, providing clinicians with a new AI lens perspective for patient care, diagnosis, and treatment. This article explores the potential applications, benefits, and challenges of AI chatbots in clinical settings, with a particular emphasis on ChatGPT 4.0 (OpenAI - Chat generative pretrained transformer 4.0), especially in the field of allergy and immunology. AI chatbots have shown considerable promise in various medical domains, including radiology and dermatology, by improving patient engagement, diagnostic accuracy, and personalized treatment plans. ChatGPT 4.0, developed by OpenAI, is good at understanding and replying to prompts in a way that makes sense. However, it is critical to address the potential biases, data privacy issues, ethical considerations, and the need for verification of AI-generated findings. When used responsibly, AI chatbots can significantly enhance clinical practice in allergy and immunology. However, there are still challenges in using this technology that require ongoing research and collaboration between AI developers and medical specialists. To this end, the ChatGPT 4.0 platform has the potential to enhance patient engagement, improve diagnostic accuracy, and provide personalized treatment plans in allergy and immunology practice. However, limitations and risks must be addressed to ensure their safe and effective use in clinical practice. (C) 2023 The Authors. Published by Elsevier Inc. on behalf of the American Academy of Allergy, Asthma & Immunology. This is an open access article under the CC BY license (http:// creativecommons.org/licenses/by/4.0/).",ELSEVIER,SEP,11,9,10.1016/j.jaip.2023.05.042,4
